ID Pemesanan,Status Pesanan,Kode Pesanan Affiliate,Waktu Pemesanan,Waktu Terselesaikan,Waktu Klik,Nama Toko,ID Shop,Tipe toko.,ID Barang,Nama Barange,ID Model,Tipe Produk,ID Promosi,L1 Kategori Global,L2 Kategori Global,L3 Kategori Global,Harga(Rp),Jumlah,Tipe Penawaran,Kampanye Partnerr,Nilai Pembelian(Rp),Jumlah Pengembalian Dana(Rp),Persentase Komisi Shopee pada Produk,Komisi Barang Shopee(Rp),Persentase Komisi XTRA pada Produk,Komisi XTRA Produk(Rp),Total Komisi per Produk(Rp),Komisi Shopee per Pesanan(Rp),Komisi XTRA per Pesanan(Rp),Total Komisi per Pesanan(Rp),Nama MCN Terhubung,ID Kontrak MCN,Persentase Biaya Manajemen MCN,Biaya Manajemen MCN(Rp),Persentase Pembagian Komisi Affiliate,Komisi Bersih Affiliate (Rp),Status Produk Affiliate,Catatan Produk,Tipe Pesanan,Status Pemebelian,Tag_link1,Tag_link2,Tag_link3,Tag_link4,Tag_link5,Platform
260530RK9YV8B2,Tertunda,233845370237591,2026-05-30 20:02:50,,2026-05-30 08:46:22,Dapur Dotcom,1599769390,Preferred(Non-CB),29039423319,NEW!! Rak Bawang Rak Bumbu Dapur Tempel Dinding Rak Gantung Serbaguna Anti Karat,234402961963,Normal Product,0_454197124546824_1,Perlengkapan Rumah,Furniture,Rak & Rak Gantung,47519,3,Komisi XTRA,,137310,,1.50%,2059.65,1.00%,1373.1,3432.75,2059.65,1373.1,3432.75,,0,0.00%,0,100.00%,3432.75,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Facebook
260530RJCGP88M,Tertunda,233844381231913,2026-05-30 19:46:21,,2026-05-30 15:10:34,JoyinMart,1027103391,Preferred(Non-CB),22874258416,50Pcs Gantungan Hook Kait Tempel Dinding Gantungan Dapur Kamar Mandi Transparan / Kunci / Serbaguna,147919769415,Normal Product,,Perlengkapan Rumah,Organizer Rumah,Pengait,19566,1,Komisi XTRA,,19066,,1.50%,285.99,4.50%,857.97,1143.96,285.99,857.97,1143.96,,0,0.00%,0,100.00%,1143.96,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Others
260530RFKBATWV,Tertunda,233841389271790,2026-05-30 18:56:36,,2026-05-25 13:16:31,Hi Girls Label,306391617,Preferred(Non-CB),3783830534,Hi Girls Label - Leora Pants,36324937250,Normal Product,,Pakaian Wanita,Celana Panjang & Legging,Celana Panjang,175000,1,Komisi XTRA,,140000,,1.50%,2100,2.50%,3500,5600,2100,3500,5600,,0,0.00%,0,100.00%,5600,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Instagram
260530RDDNMMY0,Tertunda,233839051268912,2026-05-30 18:17:31,,2026-05-30 05:49:51,Pusat oleh oleh cilacap sm,278771389,Preferred(Non-CB),4549436703,Sale  pisang oven Sari manis 500gr,21718404912,Normal Product,,Makanan & Minuman,Makanan Ringan,Makanan Ringan Lainnya,19500,1,Komisi XTRA,,19500,,1.50%,292.5,4.00%,780,1072.5,292.5,780,1072.5,,0,0.00%,0,100.00%,1072.5,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Others
260530RBQ6AA0S,Tertunda,233837223262094,2026-05-30 17:47:03,,2026-05-30 16:59:05,Nekoz Apparel,635551629,Preferred(Non-CB),45608188116,NEKOZ | KAOS OVAL WANITA KAOS SPANDEK ATASAN KEKINIAN KOREAN STYLE KAOS SMILE,340725495994,Normal Product,,Pakaian Wanita,Atasan,Kaos,34960,1,Komisi XTRA,,33380,,1.50%,500.7,2.50%,834.5,1335.2,500.7,834.5,1335.2,,0,0.00%,0,100.00%,1335.2,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,Atayasetelankaosanak,,,,,Facebook
260530RAVMKSBD,Tertunda,233836332285042,2026-05-30 17:32:14,,2026-05-30 12:54:30,Andalusia Official Shop,322423900,Preferred(Non-CB),40474865660,ANDALUSIA - Kaos Kaki Anak Unisex Oldschool Stripe 2 Series,302014278840,Normal Product,,Fashion Bayi & Anak,Aksesoris Bayi & Anak,Kaos Kaki,5499,3,Komisi XTRA,,15155,,1.50%,227.325,7.50%,1136.625,1363.95,227.325,1136.625,1363.95,,0,0.00%,0,100.00%,1363.95,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Facebook
260530RAJM4341,Tertunda,233835996229582,2026-05-30 17:26:37,,2026-05-30 07:10:42,Fany Baby Bintaro,53642517,Preferred(Non-CB),2899514657,BABY SAFE SPONGE BRUSH / BS368,7748133384,Normal Product,,Ibu & Bayi,Perlengkapan Makan Bayi,Perlengkapan Botol Susu,30500,1,Komisi Shopee,,28975,,1.50%,434.625,0.00%,0,434.625,434.625,0,434.625,,0,0.00%,0,100.00%,434.625,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,dressanakperempuan,,,,,Others
260530R7P7QVXX,Tertunda,233832896237508,2026-05-30 16:34:56,,2026-05-30 11:19:27,STRONG ID 01,1688811790,C2C(Non-CB),49658264877,madu bubuk KS isi 4 white terbuat dari serbuk madu murni,325732761168,Normal Product,,Makanan & Minuman,Menu Sarapan,Madu & Olesan,20000,1,Komisi XTRA,,20000,,0.00%,0,6.00%,1200,1200,0,1200,1200,,0,0.00%,0,100.00%,1200,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,WallpaperDindingVinyl,,,,,Facebook
260530R7M178GE,Tertunda,233832846240958,2026-05-30 16:33:44,,2026-05-30 12:40:57,KINKEAN,9863287,Preferred(Non-CB),43780835990,Panci Soup Premium Tebal Gagang Kayu / Stinless - Subron,380913963983,Normal Product,,Perlengkapan Rumah,Perlengkapan Dapur,Panci,116000,1,Komisi Shopee,,104400,,1.50%,1566,0.00%,0,1566,1566,0,1566,,0,0.00%,0,100.00%,1566,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,Atayasetelankaosanak,,,,,Facebook
260530R72P4XTV,Tertunda,233832240256414,2026-05-30 16:24:01,,2026-05-30 15:06:01,Ezviz Authorize Master Distribution,1757165038,Preferred(Non-CB),49706569278,HiView / HIksemi  Micro SD 32GB Class 10 CCTV Card Garansi 7 Tahun,370588908542,Normal Product,,Handphone & Aksesoris,Aksesoris,Kartu Memori,159000,1,Komisi XTRA,,143100,,0.50%,715.5,2.00%,2862,3577.5,715.5,2862,3577.5,,0,0.00%,0,100.00%,3577.5,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Instagram
