ID Pemesanan,Status Pesanan,Kode Pesanan Affiliate,Waktu Pemesanan,Waktu Terselesaikan,Waktu Klik,Nama Toko,ID Shop,Tipe toko.,ID Barang,Nama Barange,ID Model,Tipe Produk,ID Promosi,L1 Kategori Global,L2 Kategori Global,L3 Kategori Global,Harga(Rp),Jumlah,Tipe Penawaran,Kampanye Partnerr,Nilai Pembelian(Rp),Jumlah Pengembalian Dana(Rp),Persentase Komisi Shopee pada Produk,Komisi Barang Shopee(Rp),Persentase Komisi XTRA pada Produk,Komisi XTRA Produk(Rp),Total Komisi per Produk(Rp),Komisi Shopee per Pesanan(Rp),Komisi XTRA per Pesanan(Rp),Total Komisi per Pesanan(Rp),Nama MCN Terhubung,ID Kontrak MCN,Persentase Biaya Manajemen MCN,Biaya Manajemen MCN(Rp),Persentase Pembagian Komisi Affiliate,Komisi Bersih Affiliate (Rp),Status Produk Affiliate,Catatan Produk,Tipe Pesanan,Status Pemebelian,Tag_link1,Tag_link2,Tag_link3,Tag_link4,Tag_link5,Platform
2606033E5E63KK,Tertunda,234118294259257,2026-06-02 23:51:35,,2026-06-02 23:39:08,CORALDAISY Official Store,1384531049,Shopee Mall(Non-CB),27372570299,CORALDAISY Tas Wanita 2026 Terbaru Tas Selempang Shoulder Bag Fashion sling bag Rantai bag,390487655055,Normal Product,,Tas Wanita,Tas Selempang & Bahu Wanita,,213225,1,Komisi XTRA,,135824,,1.50%,2037.36,2.50%,3395.6,5432.96,2037.36,3395.6,5432.96,,0,0.00%,0,100.00%,5432.96,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,Atayasetelankaosanak,,,,,Facebook
2606033DR2YMG0,Tertunda,234117847292363,2026-06-02 23:44:28,,2026-06-02 23:21:08,ARJUNA KIDS,36731604,Preferred(Non-CB),22060103312,ARJUNA CUSSONS Baby Minyak Telon Plus / Minyak Telon Bayi Cussons / Minyak Telon Bayi  KT4,49392775522,Normal Product,,Ibu & Bayi,Kesehatan Bayi,Perawatan Kulit Bayi,25999,1,Komisi XTRA,,25999,,1.50%,389.985,3.50%,909.965,1299.95,389.985,909.965,1299.95,,0,0.00%,0,100.00%,1299.95,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,Atayasetelankaosanak,,,,,Facebook
2606033D6FBJTS,Tertunda,234117256293911,2026-06-02 23:34:37,,2026-06-02 13:13:11,desicreambath20,454378828,Preferred(Non-CB),20269630357,Paket Shampo & Conditioner Salon 250ml+250ml BPOM,117863307292,Normal Product,,Perawatan & Kecantikan,Perawatan Rambut,Kondisioner Rambut dan Kulit Kepala,28999,1,Komisi XTRA,,14499,,1.50%,217.485,5.00%,724.95,942.435,217.485,724.95,942.435,,0,0.00%,0,100.00%,942.435,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,WallpaperDindingVinyl,,,,,Facebook
2606033D0AVBKS,Tertunda,234117049278087,2026-06-02 23:30:56,,2026-06-02 23:25:30,AVA COLLECTIONS,275381193,Preferred(Non-CB),42652784979,LIVE KODE F 01-50 crewneck polos-motif,285229534499,Normal Product,,Pakaian Pria,Hoodie & Sweatshirt,Sweatshirt,179999,1,Komisi Shopee,,169999,,1.50%,2549.985,0.00%,0,2549.985,2549.985,0,2549.985,,0,0.00%,0,100.00%,2549.985,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,Atayasetelankaosanak,,,,,Facebook
2606033CFWCGNB,Tertunda,234116498250024,2026-06-02 23:21:39,,2026-06-02 22:36:25,isam_ps2,803218715,Preferred(Non-CB),23388223490,"Cantaxanthin 10% NHU (pigmen pemerah sejenis leader red, carophyll red) 50 gr",225894739867,Normal Product,,Hewan Peliharaan,Perawatan Kesehatan Hewan,Vitamin & Suplemen,46000,5,Komisi Shopee,,207000,,1.50%,3105,0.00%,0,3105,3105,0,3105,,0,0.00%,0,100.00%,3105,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Facebook
2606033C4F5TBW,Tertunda,234116114251440,2026-06-02 23:15:15,,2026-06-02 22:40:25,ArabelleWear Indonesia,1043208370,C2C(Non-CB),50456992938,DIORA - SETELAN ANAK COUPLE 1-9 TAHUN/ ONE SET ANAK ADEM BAHAN RAYON MOTIF BUNGA HOMEDRESS,445692670436,Normal Product,,Fashion Bayi & Anak,Pakaian Anak Perempuan,Pakaian Anak Perempuan Lainnya,69500,1,Komisi XTRA,,69500,,0.00%,0,2.50%,1737.5,1737.5,0,1737.5,1737.5,,0,0.00%,0,100.00%,1737.5,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,Atayasetelankaosanak,,,,,Facebook
2606033BYDYYQY,Tertunda,234115945243512,2026-06-02 23:12:30,,2026-06-02 23:10:33,Nabila25collection,237168819,Preferred(Non-CB),43180958467,ONE SET ANAK VIRAL MOTIP GAJAH KICAU MANIA USIA 2-12 TAHUN  SETELAN ANAK PEREMPUAN,420934589213,Normal Product,,Fashion Bayi & Anak,Pakaian Anak Perempuan,Jas & Setelan,60000,1,Komisi Shopee,,57000,,1.50%,855,0.00%,0,855,855,0,855,,0,0.00%,0,100.00%,855,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,Atayasetelankaosanak,,,,,Facebook
2606033BWNR1BS,Tertunda,234115886262510,2026-06-02 23:11:26,,2026-06-02 20:14:20,Amicaa,1480970623,Preferred(Non-CB),28781896506,Amicaa - Sweatpants Loose Highwaist Celana Panjang Daily Wanita Nyaman Soft Lembut Tebal,380051148253,Normal Product,,Pakaian Wanita,Celana Panjang & Legging,Celana Panjang,60000,1,Komisi XTRA,,48556,,1.50%,728.34,5.00%,2427.8,3156.14,728.34,2427.8,3156.14,,0,0.00%,0,100.00%,3156.14,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,WallpaperDindingVinyl,,,,,Instagram
2606033BKS583R,Tertunda,234115555292108,2026-06-02 23:06:16,,2026-06-02 23:01:04,Senka by FineToday Official,138850166,Shopee Mall(Non-CB),20208140039,SENKA Perfect Whip Acne Care Facial Foam 100gr [FS],154710700950,Normal Product,,Perawatan & Kecantikan,Perawatan Wajah,Pembersih Wajah,83260,1,Komisi XTRA,,83260,,1.50%,1248.9,5.00%,4163,5411.9,1248.9,4163,5411.9,,0,0.00%,0,100.00%,5411.9,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,Atayasetelankaosanak,,,,,Facebook
2606033BJ5MK0G,Tertunda,234115500273905,2026-06-02 23:05:07,,2026-06-01 17:45:03,Olike Official Shop,59414059,Shopee Mall(Non-CB),26774187054,[Best Selling] Olike Super Bass Mini TWS T114 lite Wireless Earphone Headset Bluetooth 6.0 IPX4,233735880428,Normal Product,,Audio,"Earphone, Headphone, & Headset",,112000,2,Komisi XTRA,,196293,,0.50%,981.465,2.50%,4907.325,5888.79,1962.93,9814.65,11777.58,,0,0.00%,0,100.00%,11777.58,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,Atayasetelankaosanak,,,,,Facebook
