ID Pemesanan,Status Pesanan,Kode Pesanan Affiliate,Waktu Pemesanan,Waktu Terselesaikan,Waktu Klik,Nama Toko,ID Shop,Tipe toko.,ID Barang,Nama Barange,ID Model,Tipe Produk,ID Promosi,L1 Kategori Global,L2 Kategori Global,L3 Kategori Global,Harga(Rp),Jumlah,Tipe Penawaran,Kampanye Partnerr,Nilai Pembelian(Rp),Jumlah Pengembalian Dana(Rp),Persentase Komisi Shopee pada Produk,Komisi Barang Shopee(Rp),Persentase Komisi XTRA pada Produk,Komisi XTRA Produk(Rp),Total Komisi per Produk(Rp),Komisi Shopee per Pesanan(Rp),Komisi XTRA per Pesanan(Rp),Total Komisi per Pesanan(Rp),Nama MCN Terhubung,ID Kontrak MCN,Persentase Biaya Manajemen MCN,Biaya Manajemen MCN(Rp),Persentase Pembagian Komisi Affiliate,Komisi Bersih Affiliate (Rp),Status Produk Affiliate,Catatan Produk,Tipe Pesanan,Status Pemebelian,Tag_link1,Tag_link2,Tag_link3,Tag_link4,Tag_link5,Platform
2606020WHDMW46,Tertunda,234031723253249,2026-06-01 23:48:44,,2026-06-01 23:20:58,TOKOBAKAT77,828088304,Preferred(Non-CB),40107603844,SISIR KUTU LOGAM TERMINATOR / SERIT KUTU LOGAM KUALITAS PREMIUM,285666205080,Normal Product,,Perawatan & Kecantikan,Alat Kecantikan,Alat Rambut,4649,1,Komisi XTRA,,4649,,1.50%,69.735,2.50%,116.225,185.96,69.735,116.225,185.96,,0,0.00%,0,100.00%,185.96,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,Atayasetelankaosanak,,,,,Others
2606020VN0RGW9,Tertunda,234030770211240,2026-06-01 23:32:50,,2026-06-01 23:29:18,Lanz Premium Jewellery,318054650,Preferred(Non-CB),23789494321,Cincin Wanita Ziselle Kristal Swaroski Titanium (Emas Perak),245400652588,Normal Product,,Aksesoris Fashion,Cincin,,28000,1,Komisi Shopee,,28000,,1.50%,420,0.00%,0,420,420,0,420,,0,0.00%,0,100.00%,420,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,Atayasetelankaosanak,,,,,Facebook
2606020V236223,Tertunda,234030135223878,2026-06-01 23:22:15,,2026-06-01 15:13:16,hellobrandholic,156726663,C2C(Non-CB),48909945227,LEKBONG,425992050213,Normal Product,,Pakaian Wanita,Pakaian Wanita Lainnya,,100000,1,Komisi Shopee,,80000,,0.00%,0,0.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,benihsayuran,,,,,Instagram
2606020U62QGVQ,Tertunda,234029195227181,2026-06-01 23:06:35,,2026-06-01 14:01:31,MURAHGROSIR15,1016129681,Preferred(Non-CB),27752717125,Kotak Penyimpanan Makanan Serbaguna Penyimpanan Bumbu / Sayur / Buah / Ikan / Mie Serbaguna,187579883712,Normal Product,,Perlengkapan Rumah,Perlengkapan Dapur,Tempat Penyimpanan Makanan,9417,1,Komisi XTRA,,0,,1.50%,0,5.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Threads
2606020TVU552J,Tertunda,234028886297873,2026-06-01 23:01:48,,2026-06-01 18:42:47,Zenyth Mall,29192607,Preferred(Non-CB),13616064228,Kantong Jaring Cuci Pakaian / Laundry Net,130724136453,Normal Product,,Perlengkapan Rumah,Organizer Rumah,Tas & Keranjang Laundry,6500,3,Komisi XTRA,,18537,,1.50%,278.055,2.00%,370.74,648.795,278.055,370.74,648.795,,0,0.00%,0,100.00%,648.795,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Instagram
2606010TRFUWEE,Tertunda,234028739230046,2026-06-01 22:58:59,,2026-05-31 11:00:27,Indi Adv,850858816,Preferred(Non-CB),25451100408,Biaya Sablon Untuk Order dibawah 100pcs,108241025069,Normal Product,,Aksesoris Fashion,Aksesoris Fashion Lainnya,,25000,1,Komisi XTRA,,23750,,1.50%,356.25,2.50%,593.75,950,1218.375,2030.625,3249,,0,0.00%,0,100.00%,3249,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Websites
2606010TRFUWEE,Tertunda,234028739230046,2026-06-01 22:58:59,,2026-05-31 11:00:27,Indi Adv,850858816,Preferred(Non-CB),25906676714,Tas Spunbond 30x40 Free Sablon Goodie Bag Custom Kuat Anti Robek,168022107337,Normal Product,,Buku & Alat Tulis,Pembungkus Kado & Kemasan,Tas Kado,2420,25,Komisi XTRA,,57475,,1.50%,862.125,2.50%,1436.875,2299,0,0,0,,0,0.00%,0,100.00%,0,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Websites
2606010TPNNWRY,Tertunda,234028678225600,2026-06-01 22:57:59,,2026-06-01 16:16:43,Batik Arkanza Store,376842205,Preferred(Non-CB),21572957599,Atasan Kemeja BATIK ARKANZA Motif MAHAMERU SOGAN Hem Atasan Kemeja Baju Batik Premium Pria Cowok Laki Laki Slimfit Full Lapis Fu,230912554375,Normal Product,,Pakaian Pria,Atasan,Kemeja,196999,1,Komisi XTRA,,177299,,1.50%,2659.485,5.00%,8864.95,11524.435,2659.485,8864.95,11524.435,,0,0.00%,0,100.00%,11524.435,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Facebook
2606010SRHHN8Q,Tertunda,234027667254872,2026-06-01 22:41:07,,2026-06-01 14:17:19,AlBarakah89,1601810701,Preferred(Non-CB),44112523097,Hanger Jilbab Susun 5 /  Gantungan Hijab Plastik 5 in 1,306049414936,Normal Product,,Perlengkapan Rumah,Organizer Rumah,Gantungan,3750,2,Komisi Shopee,,7500,,1.50%,112.5,0.00%,0,112.5,112.5,0,112.5,,0,0.00%,0,100.00%,112.5,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Facebook
2606010SKJ9PA2,Tertunda,234027500278306,2026-06-01 22:38:27,,2026-06-01 22:19:48,Gp jakarta,27065077,Preferred(Non-CB),4878718605,TERLARIS - Rak Sudut Wastafel Segitiga Saringan Cuci Piring /Tempat Spon Sabun/ Tempat Tirisan Cucian Piring Saringan Wastafel C,33603871712,Normal Product,,Perlengkapan Rumah,Perlengkapan Dapur,Saringan,19000,1,Komisi XTRA,,18850,,1.50%,282.75,7.00%,1319.5,1602.25,282.75,1319.5,1602.25,,0,0.00%,0,100.00%,1602.25,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakdapur3,,,,,Facebook
