ID Pemesanan,Status Pesanan,Kode Pesanan Affiliate,Waktu Pemesanan,Waktu Terselesaikan,Waktu Klik,Nama Toko,ID Shop,Tipe toko.,ID Barang,Nama Barange,ID Model,Tipe Produk,ID Promosi,L1 Kategori Global,L2 Kategori Global,L3 Kategori Global,Harga(Rp),Jumlah,Tipe Penawaran,Kampanye Partnerr,Nilai Pembelian(Rp),Jumlah Pengembalian Dana(Rp),Persentase Komisi Shopee pada Produk,Komisi Barang Shopee(Rp),Persentase Komisi XTRA pada Produk,Komisi XTRA Produk(Rp),Total Komisi per Produk(Rp),Komisi Shopee per Pesanan(Rp),Komisi XTRA per Pesanan(Rp),Total Komisi per Pesanan(Rp),Nama MCN Terhubung,ID Kontrak MCN,Persentase Biaya Manajemen MCN,Biaya Manajemen MCN(Rp),Persentase Pembagian Komisi Affiliate,Komisi Bersih Affiliate (Rp),Status Produk Affiliate,Catatan Produk,Tipe Pesanan,Status Pemebelian,Tag_link1,Tag_link2,Tag_link3,Tag_link4,Tag_link5,Platform
2606058C955QMF,Tertunda,234288070228198,2026-06-04 23:01:10,,2026-06-04 18:17:18,Zanaaz Shop,219219726,C2C(Non-CB),28357204496,Gantungan Kunci Kost Homestay Penginapan Bahan Akrilik,139024908803,Normal Product,,Hobi & Koleksi,Souvenir & Hadiah,Gantungan Kunci,6500,8,Komisi XTRA,,52000,,0.00%,0,3.00%,1560,1560,0,1560,1560,,0,0.00%,0,100.00%,1560,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,organizerpullout,,,,,Facebook
2606048APUD89H,Tertunda,234286382268741,2026-06-04 22:33:03,,2026-06-03 05:29:28,Shopiishop.id,448872966,C2C(Non-CB),40372132753,"3 PCS TOPI, 3 PASANG SARUNG TANGAN KAKI BAYI BARU LAHIR ( NEWBORN) SERI NAVY KUCING AWAN",258972469857,Normal Product,,Fashion Bayi & Anak,Aksesoris Bayi & Anak,Topi,32999,1,Komisi XTRA,,28999,,0.00%,0,2.50%,724.975,724.975,0,724.975,724.975,,0,0.00%,0,100.00%,724.975,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakpiringpengering,,,,,Instagram
2606048AFW64XK,Tertunda,234286149254047,2026-06-04 22:29:09,,2026-06-03 13:37:03,olotrim,10979823,Preferred(Non-CB),136601028,Raket Badminton Yonex GR201 GR303 GR 201 303 Original,3259262367,Normal Product,,Olahraga & Outdoor,Alat Rekreasi Olahraga & Aktivitas Outdoor,Bulu Tangkis,159000,1,Komisi XTRA,,143100,,1.50%,2146.5,0.50%,715.5,2862,2146.5,715.5,2862,,0,0.00%,0,100.00%,2862,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,setelanbajukaosmihugajah,,,,,Facebook
2606048A4TD5AS,Tertunda,234285777238602,2026-06-04 22:22:57,,2026-06-04 03:57:03,Sunshine OLShop98,309263241,Preferred(Non-CB),17672060252,Ori Dog 800gr Dry Food -  Makanan Kering Anjing,125914850121,Normal Product,,Hewan Peliharaan,Makanan Hewan,Makanan Anjing,20650,5,Komisi Shopee,,101185,,1.50%,1517.775,0.00%,0,1517.775,1517.775,0,1517.775,,0,0.00%,0,100.00%,1517.775,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,rakpiringpengering,,,,,Instagram
26060489PGP5BY,Tertunda,234285297281509,2026-06-04 22:14:59,,2026-06-04 18:56:27,bymomaxel,21741418,Preferred(Non-CB),5114443693,ANEKA SOTO & SOP NUSANTARA (CATERING MAKANAN BAYI MPASI FROZEN BEKU/PENAMBAH BERAT BADAN ANAK),249153534249,Normal Product,,Ibu & Bayi,Susu Formula & Makanan Bayi,Susu Formula & Makanan Bayi Lainnya,25000,1,Komisi Shopee,,21002,,1.50%,315.03,0.00%,0,315.03,2364.405,0,2364.405,,0,0.00%,0,100.00%,2364.405,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,organizerpullout,,,,,Websites
26060489PGP5BY,Tertunda,234285297281509,2026-06-04 22:14:59,,2026-06-04 18:56:27,bymomaxel,21741418,Preferred(Non-CB),5514440770,ANEKA MENU BB BOOSTER / PENAMBAH BERAT BADAN ANAK TINGGI KALORI (CATERING MAKANAN BAYI MPASI FROZEN BEKU),335484910852,Normal Product,,Makanan & Minuman,Makanan Instan,Makanan Siap Saji,38500,1,Komisi Shopee,,30770,,1.50%,461.55,0.00%,0,461.55,0,0,0,,0,0.00%,0,100.00%,0,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,organizerpullout,,,,,Websites
26060489PGP5BY,Tertunda,234285297281509,2026-06-04 22:14:59,,2026-06-04 18:56:27,bymomaxel,21741418,Preferred(Non-CB),23842970616,MINI PAO SNACK MPASI BEKAL SEKOLAH ANAK VARIAN MIX HOMEMADE - ISI 18 pcs,39310805216,Normal Product,,Makanan & Minuman,Makanan Segar & Beku,Makanan Beku Olahan,35000,1,Komisi Shopee,,29403,,1.50%,441.045,0.00%,0,441.045,0,0,0,,0,0.00%,0,100.00%,0,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,organizerpullout,,,,,Websites
26060489PGP5BY,Tertunda,234285297281509,2026-06-04 22:14:59,,2026-06-04 18:56:27,bymomaxel,21741418,Preferred(Non-CB),3914540715,ANEKA MENU AKU SUKA MAKAN IKAN (CATERING MAKANAN BAYI MPASI FROZEN BEKU/PENAMBAH BB ANAK),12909752271,Normal Product,,Makanan & Minuman,Makanan Instan,Makanan Siap Saji,33000,1,Komisi Shopee,,27723,,1.50%,415.845,0.00%,0,415.845,0,0,0,,0,0.00%,0,100.00%,0,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,organizerpullout,,,,,Websites
26060489PGP5BY,Tertunda,234285297281509,2026-06-04 22:14:59,,2026-06-04 18:56:27,bymomaxel,21741418,Preferred(Non-CB),3914540715,ANEKA MENU AKU SUKA MAKAN IKAN (CATERING MAKANAN BAYI MPASI FROZEN BEKU/PENAMBAH BB ANAK),440484781743,Normal Product,,Makanan & Minuman,Makanan Instan,Makanan Siap Saji,33000,1,Komisi Shopee,,27723,,1.50%,415.845,0.00%,0,415.845,0,0,0,,0,0.00%,0,100.00%,0,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,organizerpullout,,,,,Websites
26060489PGP5BY,Tertunda,234285297281509,2026-06-04 22:14:59,,2026-06-04 18:56:27,bymomaxel,21741418,Preferred(Non-CB),5114443693,ANEKA SOTO & SOP NUSANTARA (CATERING MAKANAN BAYI MPASI FROZEN BEKU/PENAMBAH BERAT BADAN ANAK),249153534248,Normal Product,,Ibu & Bayi,Susu Formula & Makanan Bayi,Susu Formula & Makanan Bayi Lainnya,25000,1,Komisi Shopee,,21006,,1.50%,315.09,0.00%,0,315.09,0,0,0,,0,0.00%,0,100.00%,0,Tertunda,Pesanan sedang diproses. Komisi akan dikonfirmasi setelah pesanan selesai.,Pesanan dari Toko yang tidak Dipromosikan,Ada,organizerpullout,,,,,Websites
